iter	Passed	Remaining
729	4197	1552
730	4199	1545
731	4201	1538
732	4203	1531
733	4205	1524
734	4207	1517
735	4209	1510
736	4212	1503
737	4214	1496
738	4216	1489
739	4219	1482
740	4221	1475
741	4223	1468
742	4225	1461
743	4227	1454
744	4229	1447
745	4231	1440
746	4233	1433
747	4235	1426
748	4237	1419
749	4239	1413
750	4242	1406
751	4283	1412
752	4285	1405
753	4286	1398
754	4288	1391
755	4289	1384
756	4291	1377
757	4293	1370
758	4294	1363
759	4296	1356
760	4298	1349
761	4300	1343
762	4301	1336
763	4303	1329
764	4305	1322
765	4306	1315
766	4308	1308
767	4309	1301
768	4311	1295
769	4312	1288
770	4314	1281
771	4316	1274
772	4318	1268
773	4319	1261
774	4321	1254
775	4323	1247
776	4324	1241
777	4326	1234
778	4328	1227
779	4380	1235
780	4382	1228
781	4384	1222
782	4386	1215
783	4387	1208
784	4389	1202
785	4391	1195
786	4392	1188
787	4394	1182
788	4395	1175
789	4397	1168
790	4399	1162
791	4400	1155
792	4401	1149
793	4403	1142
794	4404	1135
795	4406	1129
796	4407	1122
797	4409	1116
798	4410	1109
799	4412	1103
800	4414	1096
801	4416	1090
802	4417	1083
803	4419	1077
804	4420	1070
805	4422	1064
806	4423	1057
807	4426	1051
808	4429	1045
809	4478	1050
810	4479	1044
811	4481	1037
812	4483	1031
813	4485	1024
814	4486	1018
815	4488	1012
816	4490	1005
817	4492	999
818	4493	993
819	4495	986
820	4496	980
821	4498	974
822	4500	967
823	4501	961
824	4503	955
825	4505	949
826	4506	942
827	4508	936
828	4509	930
829	4511	924
830	4513	917
831	4515	911
832	4517	905
833	4518	899
834	4520	893
835	4523	887
836	4569	889
837	4572	883
838	4573	877
839	4575	871
840	4577	865
841	4580	859
842	4582	853
843	4584	847
844	4586	841
845	4588	835
846	4590	829
847	4592	823
848	4594	817
849	4596	811
850	4599	805
851	4601	799
852	4603	793
853	4605	787
854	4607	781
855	4610	775
856	4612	769
857	4614	763
858	4617	757
859	4667	759
860	4669	753
861	4671	747
862	4673	741
863	4675	735
864	4677	730
865	4679	724
866	4681	718
867	4685	712
868	4687	706
869	4689	700
870	4691	694
871	4693	688
872	4695	683
873	4697	677
874	4700	671
875	4702	665
876	4704	659
877	4707	654
878	4709	648
879	4711	642
880	4763	643
881	4766	637
882	4769	631
883	4772	626
884	4774	620
885	4776	614
886	4778	608
887	4780	602
888	4782	597
889	4784	591
890	4785	585
891	4787	579
892	4789	573
893	4791	568
894	4792	562
895	4794	556
896	4796	550
897	4798	545
898	4800	539
899	4802	533
900	4804	527
901	4805	522
902	4807	516
903	4809	510
904	4812	505
905	4814	499
906	4816	493
907	4860	492
908	4862	486
909	4864	481
910	4866	475
911	4871	470
912	4872	464
913	4874	458
914	4876	452
915	4877	447
916	4879	441
917	4881	436
918	4882	430
919	4884	424
920	4885	419
921	4887	413
922	4889	407
923	4891	402
924	4892	396
925	4894	391
926	4896	385
927	4898	380
928	4900	374
929	4901	368
930	4903	363
931	4905	357
932	4906	352
933	4909	346
934	4958	344
935	4959	339
936	4961	333
937	4963	328
938	4964	322
939	4966	316
940	4968	311
941	4969	305
942	4971	300
943	4972	294
944	4974	289
945	4976	284
946	4977	278
947	4979	273
948	4981	267
949	4982	262
950	4984	256
951	4985	251
952	4987	245
953	4989	240
954	4991	235
955	4992	229
956	4994	224
957	4996	219
958	4997	213
959	4999	208
960	5001	202
961	5003	197
962	5054	194
963	5057	188
964	5058	183
965	5060	178
966	5062	172
967	5064	167
968	5066	162
969	5068	156
970	5069	151
971	5071	146
972	5073	140
973	5075	135
974	5077	130
975	5079	124
976	5080	119
977	5082	114
978	5084	109
979	5086	103
980	5088	98
981	5089	93
982	5091	88
983	5093	82
984	5095	77
985	5097	72
986	5099	67
987	5101	61
988	5153	57
989	5155	52
990	5157	46
991	5160	41
992	5161	36
993	5163	31
994	5166	25
995	5168	20
996	5170	15
997	5173	10
998	5175	5
999	5177	0
